,Club,Punti,GolFatti,GolSubiti,PartiteVinte,PartitePareggiate,PartitePerse,TiriFatti,TiriSubiti,TiriInPortaFatti,TiriInPortaSubiti,FalliFatti,FalliSubiti,CornerFatti,CornerSubiti,GialliPresi,GialliAvversari,RossiPresi,RossiAvversari,PuntiCasa,GolFattiCasa,GolSubitiCasa,PartiteVinteCasa,PartitePareggiateCasa,PartitePerseCasa,TiriFattiCasa,TiriSubitiCasa,TiriInPortaFattiCasa,TiriInPortaSubitiCasa,FalliFattiCasa,FalliSubitiCasa,CornerFattiCasa,CornerSubitiCasa,GialliPresiCasa,GialliAvversariCasa,RossiPresiCasa,RossiAvversariCasa,PuntiTransferta,GolFattiTransferta,GolSubitiTransferta,PartiteVinteTransferta,PartitePareggiateTransferta,PartitePerseTransferta,TiriFattiTransferta,TiriSubitiTransferta,TiriInPortaFattiTransferta,TiriInPortaSubitiTransferta,FalliFattiTransferta,FalliSubitiTransferta,CornerFattiTransferta,CornerSubitiTransferta,GialliPresiTransferta,GialliAvversariTransferta,RossiPresiTransferta,RossiAvversariTransferta
0,Juventus,90,70,30,28,6,4,443,299,227,138,455,487,244,179,76,93,4,3,49,39,13,15,4,0,257,141,130,65,235,238,140,78,30,46,2,1,41,31,17,13,2,4,186,158,97,73,220,249,104,101,46,47,2,2
1,Napoli,79,74,36,24,7,7,550,325,290,163,400,432,255,164,75,88,5,5,43,41,16,13,4,2,317,149,169,79,191,199,143,79,32,49,1,5,36,33,20,11,3,5,233,176,121,84,209,233,112,85,43,39,4,0
2,Atalanta,69,77,46,20,9,9,475,317,254,163,429,507,242,150,61,89,3,6,35,36,19,10,5,4,250,126,133,56,213,266,139,77,28,51,0,4,34,41,27,10,4,5,225,191,121,107,216,241,103,73,33,38,3,2
3,Inter,69,57,33,20,9,9,459,317,238,156,457,501,302,149,75,101,3,5,38,27,10,11,5,3,258,140,137,73,228,238,168,58,33,50,1,4,31,30,23,9,4,6,201,177,101,83,229,263,134,91,42,51,2,1
4,Milan,68,55,36,19,11,8,423,355,231,175,444,484,230,198,83,70,5,5,40,31,17,12,4,3,229,159,123,77,225,221,132,92,36,35,3,4,28,24,19,7,7,5,194,196,108,98,219,263,98,106,47,35,2,1
5,Roma,66,66,48,18,12,8,459,373,257,189,453,412,227,220,90,70,2,3,41,43,26,12,5,2,244,169,141,98,227,219,123,107,40,39,1,1,25,23,22,6,7,6,215,204,116,91,226,193,104,113,50,31,1,2
6,Torino,63,52,37,16,15,7,388,352,202,183,602,598,183,214,90,116,4,10,38,32,19,12,2,5,223,167,122,93,273,310,111,94,38,68,2,9,25,20,18,4,13,2,165,185,80,90,329,288,72,120,52,48,2,1
7,Lazio,59,56,46,17,8,13,440,321,230,176,495,407,226,180,90,90,4,4,32,36,25,9,5,5,248,144,126,82,234,207,125,85,38,47,3,3,27,20,21,8,3,8,192,177,104,94,261,200,101,95,52,43,1,1
8,Sampdoria,53,60,51,15,8,15,363,374,205,174,476,520,168,206,92,94,3,5,32,28,16,10,2,7,197,162,109,68,235,286,83,90,43,49,1,1,21,32,35,5,6,8,166,212,96,106,241,234,85,116,49,45,2,4
9,Bologna,44,48,56,11,11,16,378,387,199,203,506,532,207,185,92,99,6,5,31,28,22,9,4,6,193,172,98,92,231,284,108,86,35,53,2,3,13,20,34,2,7,10,185,215,101,111,275,248,99,99,57,46,4,2
10,Sassuolo,43,53,60,9,16,13,376,369,184,200,510,539,185,225,87,86,8,4,25,33,33,5,10,4,214,178,102,102,260,262,112,100,41,43,2,2,18,20,27,4,6,9,162,191,82,98,250,277,73,125,46,43,6,2
11,Udinese,43,39,53,11,10,17,349,437,159,206,492,482,164,258,92,89,4,2,29,22,22,8,5,6,189,205,86,99,243,258,84,122,51,54,3,1,14,17,31,3,5,11,160,232,73,107,249,224,80,136,41,35,1,1
12,Spal,42,44,56,11,9,18,334,404,161,213,484,577,196,223,113,109,3,5,22,20,26,5,7,7,176,185,83,95,262,305,101,107,56,61,2,1,20,24,30,6,2,11,158,219,78,118,222,272,95,116,57,48,1,4
13,Parma,41,41,61,10,11,17,270,536,134,253,487,447,144,253,84,87,3,4,22,18,25,5,7,7,152,236,72,104,247,230,67,114,38,47,2,2,19,23,36,5,4,10,118,300,62,149,240,217,77,139,46,40,1,2
14,Cagliari,41,36,54,10,11,17,334,445,148,234,569,478,190,190,95,76,9,5,30,23,20,8,6,5,192,191,84,92,285,231,90,86,46,44,4,1,11,13,34,2,5,12,142,254,64,142,284,247,100,104,49,32,5,4
15,Fiorentina,41,47,45,8,17,13,415,330,216,168,542,524,236,201,91,97,5,1,24,25,19,5,9,5,213,137,100,73,254,251,118,98,45,48,2,0,17,22,26,3,8,8,202,193,116,95,288,273,118,103,46,49,3,1
16,Genoa,38,39,57,8,14,16,370,407,177,221,545,504,186,195,96,89,7,4,26,21,22,6,8,5,201,166,100,95,260,269,103,97,47,50,4,4,12,18,35,2,6,11,169,241,77,126,285,235,83,98,49,39,3,0
17,Empoli,38,51,70,10,8,20,330,477,189,266,444,454,188,203,74,79,3,6,30,33,30,9,3,7,176,222,106,128,231,224,96,105,37,44,0,2,8,18,40,1,5,13,154,255,83,138,213,230,92,98,37,35,3,4
18,Frosinone,25,29,69,5,10,23,322,465,143,247,553,537,160,204,102,80,2,4,9,14,38,1,6,12,198,222,90,125,285,276,88,88,45,43,0,1,16,15,31,4,4,11,124,243,53,122,268,261,72,116,57,37,2,3
