,Club,Punti,GolFatti,GolSubiti,PartiteVinte,PartitePareggiate,PartitePerse,TiriFatti,TiriSubiti,TiriInPortaFatti,TiriInPortaSubiti,FalliFatti,FalliSubiti,CornerFatti,CornerSubiti,GialliPresi,GialliAvversari,RossiPresi,RossiAvversari,PuntiCasa,GolFattiCasa,GolSubitiCasa,PartiteVinteCasa,PartitePareggiateCasa,PartitePerseCasa,TiriFattiCasa,TiriSubitiCasa,TiriInPortaFattiCasa,TiriInPortaSubitiCasa,FalliFattiCasa,FalliSubitiCasa,CornerFattiCasa,CornerSubitiCasa,GialliPresiCasa,GialliAvversariCasa,RossiPresiCasa,RossiAvversariCasa,PuntiTransferta,GolFattiTransferta,GolSubitiTransferta,PartiteVinteTransferta,PartitePareggiateTransferta,PartitePerseTransferta,TiriFattiTransferta,TiriSubitiTransferta,TiriInPortaFattiTransferta,TiriInPortaSubitiTransferta,FalliFattiTransferta,FalliSubitiTransferta,CornerFattiTransferta,CornerSubitiTransferta,GialliPresiTransferta,GialliAvversariTransferta,RossiPresiTransferta,RossiAvversariTransferta
0,Juventus,95,86,24,30,5,3,554,309,205,95,425,518,186,129,66,92,1,7,49,45,8,16,1,2,320,143,121,38,215,257,97,62,30,44,0,3,46,41,16,14,4,1,234,166,84,57,210,261,89,67,36,48,1,4
1,Napoli,91,77,29,28,7,3,652,326,256,98,349,390,241,129,58,84,3,0,45,43,18,14,3,2,359,157,142,46,175,195,128,59,23,42,1,0,46,34,11,14,4,1,293,169,114,52,174,195,113,70,35,42,2,0
2,Roma,77,61,28,23,8,7,644,418,213,141,396,460,263,158,48,73,4,5,35,31,19,11,2,6,360,178,116,68,194,206,152,78,22,35,2,3,42,30,9,12,6,1,284,240,97,73,202,254,111,80,26,38,2,2
3,Inter,72,66,30,20,12,6,570,438,206,118,453,422,290,184,69,81,1,9,38,37,16,11,5,3,313,189,112,52,221,220,148,76,29,44,1,6,34,29,14,9,7,3,257,249,94,66,232,202,142,108,40,37,0,3
4,Lazio,72,89,49,21,9,8,554,435,216,162,435,378,217,156,77,70,6,3,32,45,21,9,5,5,308,211,127,79,211,183,125,70,31,40,4,1,40,44,28,12,4,3,246,224,89,83,224,195,92,86,46,30,2,2
5,Milan,64,56,42,18,10,10,609,412,224,135,498,513,244,150,75,83,7,6,35,25,16,10,5,4,342,180,119,54,261,233,144,72,30,39,2,2,29,31,26,8,5,6,267,232,105,81,237,280,100,78,45,44,5,4
6,Atalanta,60,57,39,16,12,10,573,400,197,117,491,499,229,189,67,87,4,5,33,30,18,9,6,4,302,185,92,51,229,258,110,89,30,45,2,4,27,27,21,7,6,6,271,215,105,66,262,241,119,100,37,42,2,1
7,Fiorentina,57,54,46,16,9,13,616,400,193,154,547,457,210,198,88,100,6,8,29,27,22,8,5,6,345,175,104,63,284,234,121,109,40,55,2,4,28,27,24,8,4,7,271,225,89,91,263,223,89,89,48,45,4,4
8,Torino,54,54,46,13,15,10,443,501,156,163,565,539,173,229,78,73,4,5,30,29,18,8,6,5,236,221,85,72,260,270,81,103,34,40,1,3,24,25,28,5,9,5,207,280,71,91,305,269,92,126,44,33,3,2
9,Sampdoria,54,56,60,16,6,16,476,548,172,201,424,508,224,214,69,96,2,4,39,36,20,12,3,4,260,247,92,84,205,263,114,94,30,54,0,2,15,20,40,4,3,12,216,301,80,117,219,245,110,120,39,42,2,2
10,Sassuolo,43,29,59,11,10,17,495,466,143,180,483,586,196,223,89,78,7,4,19,11,22,4,7,8,257,186,71,75,253,300,103,100,44,41,3,3,24,18,37,7,3,9,238,280,72,105,230,286,93,123,45,37,4,1
11,Genoa,41,33,43,11,8,19,411,504,126,175,560,498,183,157,76,73,5,5,21,23,27,6,3,10,224,234,66,87,274,235,103,69,40,45,2,3,20,10,16,5,5,9,187,270,60,88,286,263,80,88,36,28,3,2
12,Chievo,40,36,59,10,10,18,386,578,135,189,479,467,147,242,75,62,4,6,27,22,24,7,6,6,195,254,72,80,236,234,75,106,34,29,3,4,13,14,35,3,4,12,191,324,63,109,243,233,72,136,41,33,1,2
13,Udinese,40,48,63,12,4,22,444,521,139,176,529,415,177,226,72,63,4,5,20,24,30,6,2,11,246,245,80,80,266,219,93,104,37,36,3,4,20,24,33,6,2,11,198,276,59,96,263,196,84,122,35,27,1,1
14,Bologna,39,40,52,11,6,21,353,526,123,165,480,484,151,240,102,70,6,3,22,25,26,6,4,9,189,232,69,81,241,257,80,116,50,35,1,1,17,15,26,5,2,12,164,294,54,84,239,227,71,124,52,35,5,2
15,Cagliari,39,33,61,11,6,21,371,536,120,172,607,487,179,193,96,73,6,3,21,18,30,6,3,10,224,245,72,85,317,250,107,83,50,39,3,1,18,15,31,5,3,11,147,291,48,87,290,237,72,110,46,34,3,2
16,Spal,38,39,59,8,14,16,368,577,115,200,476,663,175,209,102,77,4,3,23,22,29,5,8,6,198,256,60,88,227,334,95,89,54,41,2,2,15,17,30,3,6,10,170,321,55,112,249,329,80,120,48,36,2,1
